,test_statistic,p,-log2(p),C,RMST-6-Months,RMST-12-Months,RMST-18-Months,RMST-24-Months,Size,Weight
0,0.016876228580572902,0.8966387881675327,0.15740118384748228,0,0.03851851851851773,0.02507192726751839,0.006298509433651844,-0.025852100456393856,135,0.09897360703812316
1,0.12670655423647814,0.7218715387277441,0.47018597097404474,1,0.04999999999999627,0.06427734183261968,0.19053618795226868,0.31394229066494717,136,0.09970674486803519
2,0.3250666415043435,0.5685785707462789,0.8145683688241958,2,-0.018965517241378294,-0.003478161271921465,0.029577993486721965,0.13133640765632748,116,0.08504398826979472
3,0.10764286517355336,0.7428438255198839,0.42886916249627377,3,0.05441176470587816,0.14183071960759008,0.3046579449561406,0.3236235916721668,136,0.09970674486803519
4,4.12898873052383,0.04215453453198094,4.568168360625568,4,-0.003738317757010279,0.08992545125890494,0.34475277515868186,0.6419404337482568,214,0.15689149560117302
5,3.0485251656650147,0.08081049574841619,3.629313505946069,5,0.0888888888888868,0.28780114409673985,0.8446892287182113,1.5247221945575014,81,0.0593841642228739
6,1.1272269143394624,0.28836761690982504,1.7940189328978273,6,-0.005243445692884485,0.037474112043376806,0.11255585644422261,0.2978892844037553,267,0.19574780058651026
7,0.3638745298461865,0.5463622554179031,0.8720702741479027,7,-0.023008849557522026,-0.051762651205622845,0.05117970038598152,0.10153106547039314,113,0.08284457478005865
8,2.310124449714254,0.12853375875935324,2.9597807689447406,8,0.0019801980198046465,0.18115303035656538,0.3404134451890357,0.57768079662387,101,0.07404692082111437
9,1.386600342572132,0.23898006036923497,2.06503784490932,9,-0.05846153846153612,0.12290168875832563,0.30755723520068656,0.5989581026516468,65,0.047653958944281524
